Date,"First Punch-In Time","Last Punch-Out Time","Time in Office","Time in Timesheets"
2018-01-01,"Not Found","Not Found",0,0
2018-01-02,"Not Found","Not Found",0,0
2018-01-03,"Not Found","Not Found",0,0
2018-01-04,"Not Found","Not Found",0,0
2018-01-05,"Not Found","Not Found",0,0
2018-01-06,"Not Found","Not Found",0,0
2018-01-07,"Not Found","Not Found",0,0
2018-01-08,"Not Found","Not Found",0,0
2018-01-09,"Not Found","Not Found",0,0
2018-01-10,"Not Found","Not Found",0,0
2018-01-11,"Not Found","Not Found",0,0
2018-01-12,"Not Found","Not Found",0,0
2018-01-13,"Not Found","Not Found",0,0
2018-01-14,"Not Found","Not Found",0,0
2018-01-15,"Not Found","Not Found",0,0
2018-01-16,"Not Found","Not Found",0,0
2018-01-17,"Not Found","Not Found",0,0
2018-01-18,"Not Found","Not Found",0,0
2018-01-19,"Not Found","Not Found",0,0
2018-01-20,"Not Found","Not Found",0,0
2018-01-21,"Not Found","Not Found",0,0
2018-01-22,"Not Found","Not Found",0,0
2018-01-23,"Not Found","Not Found",0,0
2018-01-24,"Not Found","Not Found",0,0
2018-01-25,"Not Found","Not Found",0,0
2018-01-26,"Not Found","Not Found",0,0
2018-01-27,"Not Found","Not Found",0,0
2018-01-28,"Not Found","Not Found",0,0
2018-01-29,"Not Found","Not Found",0,0
2018-01-30,"Not Found","Not Found",0,0
2018-01-31,"Not Found","Not Found",0,0
2018-02-01,"Not Found","Not Found",0,0
2018-02-02,"Not Found","Not Found",0,0
2018-02-03,"Not Found","Not Found",0,0
2018-02-04,"Not Found","Not Found",0,0
2018-02-05,"Not Found","Not Found",0,0
2018-02-06,"Not Found","Not Found",0,0
2018-02-07,"Not Found","Not Found",0,0
2018-02-08,"Not Found","Not Found",0,0
2018-02-09,"Not Found","Not Found",0,0
2018-02-10,"Not Found","Not Found",0,0
2018-02-11,"Not Found","Not Found",0,0
2018-02-12,"Not Found","Not Found",0,0
2018-02-13,"Not Found","Not Found",0,0
2018-02-14,"Not Found","Not Found",0,0
2018-02-15,"Not Found","Not Found",0,0
2018-02-16,"Not Found","Not Found",0,0
2018-02-17,"Not Found","Not Found",0,0
2018-02-18,"Not Found","Not Found",0,0
2018-02-19,"Not Found","Not Found",0,0
2018-02-20,"Not Found","Not Found",0,0
2018-02-21,"Not Found","Not Found",0,0
2018-02-22,"Not Found","Not Found",0,0
2018-02-23,"Not Found","Not Found",0,0
2018-02-24,"Not Found","Not Found",0,0
2018-02-25,"Not Found","Not Found",0,0
2018-02-26,"Not Found","Not Found",0,0
2018-02-27,"Not Found","Not Found",0,0
2018-02-28,"Not Found","Not Found",0,0
2018-03-01,"Not Found","Not Found",0,0
2018-03-02,"Not Found","Not Found",0,0
2018-03-03,"Not Found","Not Found",0,0
2018-03-04,"Not Found","Not Found",0,0
2018-03-05,"Not Found","Not Found",0,0
2018-03-06,"Not Found","Not Found",0,0
2018-03-07,"Not Found","Not Found",0,0
2018-03-08,"Not Found","Not Found",0,0
2018-03-09,"Not Found","Not Found",0,0
2018-03-10,"Not Found","Not Found",0,0
2018-03-11,"Not Found","Not Found",0,0
2018-03-12,"Not Found","Not Found",0,0
2018-03-13,"Not Found","Not Found",0,0
2018-03-14,"Not Found","Not Found",0,0
2018-03-15,"Not Found","Not Found",0,0
2018-03-16,"Not Found","Not Found",0,0
2018-03-17,"Not Found","Not Found",0,0
2018-03-18,"Not Found","Not Found",0,0
2018-03-19,"Not Found","Not Found",0,0
2018-03-20,"Not Found","Not Found",0,0
2018-03-21,"Not Found","Not Found",0,0
2018-03-22,"Not Found","Not Found",0,0
2018-03-23,"Not Found","Not Found",0,0
2018-03-24,"Not Found","Not Found",0,0
2018-03-25,"Not Found","Not Found",0,0
2018-03-26,"Not Found","Not Found",0,0
2018-03-27,"Not Found","Not Found",0,0
2018-03-28,"Not Found","Not Found",0,0
2018-03-29,"Not Found","Not Found",0,0
2018-03-30,"Not Found","Not Found",0,0
2018-03-31,"Not Found","Not Found",0,0
2018-04-01,"Not Found","Not Found",0,0
2018-04-02,"Not Found","Not Found",0,0
2018-04-03,"Not Found","Not Found",0,0
2018-04-04,"Not Found","Not Found",0,0
2018-04-05,"Not Found","Not Found",0,0
2018-04-06,"Not Found","Not Found",0,0
2018-04-07,"Not Found","Not Found",0,0
2018-04-08,"Not Found","Not Found",0,0
2018-04-09,"Not Found","Not Found",0,0
2018-04-10,"Not Found","Not Found",0,0
2018-04-11,"Not Found","Not Found",0,0
2018-04-12,"Not Found","Not Found",0,0
2018-04-13,"Not Found","Not Found",0,0
2018-04-14,"Not Found","Not Found",0,0
2018-04-15,"Not Found","Not Found",0,0
2018-04-16,"Not Found","Not Found",0,0
2018-04-17,"Not Found","Not Found",0,0
2018-04-18,"Not Found","Not Found",0,0
2018-04-19,"Not Found","Not Found",0,0
2018-04-20,"Not Found","Not Found",0,0
2018-04-21,"Not Found","Not Found",0,0
2018-04-22,"Not Found","Not Found",0,0
2018-04-23,"Not Found","Not Found",0,0
2018-04-24,"Not Found","Not Found",0,0
2018-04-25,"Not Found","Not Found",0,0
2018-04-26,"Not Found","Not Found",0,0
2018-04-27,"Not Found","Not Found",0,0
2018-04-28,"Not Found","Not Found",0,0
2018-04-29,"Not Found","Not Found",0,0
2018-04-30,"Not Found","Not Found",0,0
2018-05-01,"Not Found","Not Found",0,0
2018-05-02,"Not Found","Not Found",0,0
2018-05-03,"Not Found","Not Found",0,0
2018-05-04,"Not Found","Not Found",0,0
2018-05-05,"Not Found","Not Found",0,0
2018-05-06,"Not Found","Not Found",0,0
2018-05-07,"Not Found","Not Found",0,0
2018-05-08,"Not Found","Not Found",0,0
2018-05-09,"Not Found","Not Found",0,0
2018-05-10,"Not Found","Not Found",0,0
2018-05-11,"Not Found","Not Found",0,0
2018-05-12,"Not Found","Not Found",0,0
2018-05-13,"Not Found","Not Found",0,0
2018-05-14,"Not Found","Not Found",0,0
2018-05-15,"Not Found","Not Found",0,0
2018-05-16,"Not Found","Not Found",0,0
2018-05-17,"Not Found","Not Found",0,0
2018-05-18,"Not Found","Not Found",0,0
2018-05-19,"Not Found","Not Found",0,0
2018-05-20,"Not Found","Not Found",0,0
2018-05-21,"Not Found","Not Found",0,0
2018-05-22,"Not Found","Not Found",0,0
2018-05-23,"Not Found","Not Found",0,0
2018-05-24,"Not Found","Not Found",0,0
2018-05-25,"Not Found","Not Found",0,0
2018-05-26,"Not Found","Not Found",0,0
2018-05-27,"Not Found","Not Found",0,0
2018-05-28,"Not Found","Not Found",0,0
2018-05-29,"Not Found","Not Found",0,0
2018-05-30,"Not Found","Not Found",0,0
2018-05-31,"Not Found","Not Found",0,0
2018-06-01,"Not Found","Not Found",0,0
2018-06-02,"Not Found","Not Found",0,0
2018-06-03,"Not Found","Not Found",0,0
2018-06-04,"Not Found","Not Found",0,0
2018-06-05,"Not Found","Not Found",0,0
2018-06-06,"Not Found","Not Found",0,0
2018-06-07,"Not Found","Not Found",0,0
2018-06-08,"Not Found","Not Found",0,0
2018-06-09,"Not Found","Not Found",0,0
2018-06-10,"Not Found","Not Found",0,0
2018-06-11,"Not Found","Not Found",0,0
2018-06-12,"Not Found","Not Found",0,0
2018-06-13,"Not Found","Not Found",0,0
2018-06-14,"Not Found","Not Found",0,0
2018-06-15,"Not Found","Not Found",0,0
2018-06-16,"Not Found","Not Found",0,0
2018-06-17,"Not Found","Not Found",0,0
2018-06-18,"Not Found","Not Found",0,0
2018-06-19,"Not Found","Not Found",0,0
2018-06-20,"Not Found","Not Found",0,0
2018-06-21,"Not Found","Not Found",0,0
2018-06-22,"Not Found","Not Found",0,0
2018-06-23,"Not Found","Not Found",0,0
2018-06-24,"Not Found","Not Found",0,0
2018-06-25,"Not Found","Not Found",0,0
2018-06-26,"Not Found","Not Found",0,0
2018-06-27,"Not Found","Not Found",0,0
2018-06-28,"Not Found","Not Found",0,0
2018-06-29,"Not Found","Not Found",0,0
2018-06-30,"Not Found","Not Found",0,0
2018-07-01,"Not Found","Not Found",0,0
2018-07-02,"Not Found","Not Found",0,0
2018-07-03,"Not Found","Not Found",0,0
2018-07-04,"Not Found","Not Found",0,0
2018-07-05,"Not Found","Not Found",0,0
2018-07-06,"Not Found","Not Found",0,0
2018-07-07,"Not Found","Not Found",0,0
2018-07-08,"Not Found","Not Found",0,0
2018-07-09,"Not Found","Not Found",0,0
2018-07-10,"Not Found","Not Found",0,0
2018-07-11,"Not Found","Not Found",0,0
2018-07-12,"Not Found","Not Found",0,0
2018-07-13,"Not Found","Not Found",0,0
2018-07-14,"Not Found","Not Found",0,0
2018-07-15,"Not Found","Not Found",0,0
2018-07-16,"Not Found","Not Found",0,0
2018-07-17,"Not Found","Not Found",0,0
2018-07-18,"Not Found","Not Found",0,0
2018-07-19,"Not Found","Not Found",0,0
2018-07-20,"Not Found","Not Found",0,0
2018-07-21,"Not Found","Not Found",0,0
2018-07-22,"Not Found","Not Found",0,0
2018-07-23,"Not Found","Not Found",0,0
2018-07-24,"Not Found","Not Found",0,0
2018-07-25,"Not Found","Not Found",0,0
2018-07-26,"Not Found","Not Found",0,0
2018-07-27,"Not Found","Not Found",0,0
2018-07-28,"Not Found","Not Found",0,0
2018-07-29,"Not Found","Not Found",0,0
2018-07-30,"Not Found","Not Found",0,0
2018-07-31,"Not Found","Not Found",0,0
2018-08-01,"Not Found","Not Found",0,0
2018-08-02,"Not Found","Not Found",0,0
2018-08-03,"Not Found","Not Found",0,0
2018-08-04,"Not Found","Not Found",0,0
2018-08-05,"Not Found","Not Found",0,0
2018-08-06,"Not Found","Not Found",0,0
2018-08-07,"Not Found","Not Found",0,0
2018-08-08,"Not Found","Not Found",0,0
2018-08-09,"Not Found","Not Found",0,0
2018-08-10,"Not Found","Not Found",0,0
2018-08-11,"Not Found","Not Found",0,0
2018-08-12,"Not Found","Not Found",0,0
2018-08-13,"Not Found","Not Found",0,0
2018-08-14,"Not Found","Not Found",0,0
2018-08-15,"Not Found","Not Found",0,0
2018-08-16,"Not Found","Not Found",0,0
2018-08-17,"Not Found","Not Found",0,0
2018-08-18,"Not Found","Not Found",0,0
2018-08-19,"Not Found","Not Found",0,0
2018-08-20,"Not Found","Not Found",0,0
2018-08-21,"Not Found","Not Found",0,0
2018-08-22,"Not Found","Not Found",0,0
2018-08-23,"Not Found","Not Found",0,0
2018-08-24,"Not Found","Not Found",0,0
2018-08-25,"Not Found","Not Found",0,0
2018-08-26,"Not Found","Not Found",0,0
2018-08-27,"Not Found","Not Found",0,0
2018-08-28,"Not Found","Not Found",0,0
2018-08-29,"Not Found","Not Found",0,0
2018-08-30,"Not Found","Not Found",0,0
2018-08-31,"Not Found","Not Found",0,0
2018-09-01,"Not Found","Not Found",0,0
2018-09-02,"Not Found","Not Found",0,0
2018-09-03,"Not Found","Not Found",0,0
2018-09-04,"Not Found","Not Found",0,0
2018-09-05,"Not Found","Not Found",0,0
2018-09-06,"Not Found","Not Found",0,0
2018-09-07,"Not Found","Not Found",0,0
2018-09-08,"Not Found","Not Found",0,0
2018-09-09,"Not Found","Not Found",0,0
2018-09-10,"Not Found","Not Found",0,0
2018-09-11,"Not Found","Not Found",0,0
2018-09-12,"Not Found","Not Found",0,0
2018-09-13,"Not Found","Not Found",0,0
2018-09-14,"Not Found","Not Found",0,0
2018-09-15,"Not Found","Not Found",0,0
2018-09-16,"Not Found","Not Found",0,0
2018-09-17,"Not Found","Not Found",0,0
2018-09-18,"Not Found","Not Found",0,0
2018-09-19,"Not Found","Not Found",0,0
2018-09-20,"Not Found","Not Found",0,0
2018-09-21,"Not Found","Not Found",0,0
2018-09-22,"Not Found","Not Found",0,0
2018-09-23,"Not Found","Not Found",0,0
2018-09-24,"Not Found","Not Found",0,0
2018-09-25,"Not Found","Not Found",0,0
2018-09-26,"Not Found","Not Found",0,0
2018-09-27,"Not Found","Not Found",0,0
2018-09-28,"Not Found","Not Found",0,0
2018-09-29,"Not Found","Not Found",0,0
2018-09-30,"Not Found","Not Found",0,0
2018-10-01,"Not Found","Not Found",0,0
2018-10-02,"Not Found","Not Found",0,0
